,id,x,y,endX,endY,teamId,playerId,eventType,outcomeType,minute
364,2610744695.0,47.0,49.6,39.4,90.2,32,336915.0,Pass,Successful,26
365,2610744771.0,33.9,92.5,32.9,72.3,32,100008.0,Pass,Successful,26
366,2610539241.0,34.8,73.6,27.8,46.0,32,248144.0,Pass,Successful,26
367,2610744881.0,25.9,44.1,8.2,51.0,32,99487.0,Pass,Successful,26
368,2610539253.0,10.0,54.5,28.9,65.6,32,260843.0,Pass,Successful,26
369,2610539277.0,30.1,66.5,35.7,93.3,32,248144.0,Pass,Successful,26
370,2610539301.0,34.4,93.3,23.5,85.3,32,100008.0,Pass,Successful,26
371,2610539369.0,25.2,85.9,7.0,49.9,32,22079.0,Pass,Successful,26
372,2610539417.0,7.0,49.2,25.2,38.4,32,260843.0,Pass,Successful,26
373,2610539449.0,30.8,35.6,37.4,35.6,32,69344.0,Pass,Successful,27
374,2610539483.0,37.4,35.6,33.5,59.1,32,123761.0,Pass,Successful,27
375,2610539547.0,41.9,62.6,57.3,95.3,32,248144.0,Pass,Successful,27
376,2610539617.0,62.2,86.6,58.9,73.8,32,100008.0,Pass,Successful,27
377,2610539665.0,60.7,70.9,60.7,77.8,32,248144.0,Pass,Successful,27
378,2610539743.0,59.6,75.4,46.5,32.6,32,336915.0,Pass,Successful,27
379,2610539777.0,47.3,33.2,45.2,55.4,32,99487.0,Pass,Successful,27
380,2610539803.0,45.6,56.0,54.6,77.0,32,22079.0,Pass,Successful,27
381,2610539825.0,57.2,76.3,66.2,95.0,32,248144.0,Pass,Successful,27
382,2610539833.0,67.7,94.4,70.0,88.8,32,100008.0,Pass,Successful,27
383,2610539839.0,70.0,88.8,67.9,95.1,32,300299.0,Pass,Successful,27
384,2610539881.0,67.9,95.1,62.4,90.4,32,100008.0,Pass,Successful,27
385,2610539927.0,59.2,89.8,42.1,74.7,32,248144.0,Pass,Successful,27
386,2610539965.0,38.5,69.1,29.3,52.7,32,22079.0,Pass,Successful,27
387,2610540013.0,33.4,63.9,35.3,93.8,32,99487.0,Pass,Successful,27
388,2610540083.0,30.7,92.4,13.7,54.2,32,248144.0,Pass,Successful,27
389,2610540125.0,12.9,48.9,20.0,23.3,32,260843.0,Pass,Successful,27
390,2610540143.0,20.6,19.2,26.3,9.9,32,69344.0,Pass,Successful,27
391,2610540169.0,25.8,9.7,28.3,19.0,32,353418.0,Pass,Successful,27
392,2610540217.0,26.4,17.6,20.1,13.8,32,99487.0,Pass,Successful,27
393,2610540275.0,19.0,24.2,2.4,46.0,32,353418.0,Pass,Successful,27
394,2610540317.0,8.1,60.7,37.8,86.8,32,260843.0,Pass,Unsuccessful,28
398,2610540435.0,74.2,14.2,73.9,18.8,167,69778.0,Pass,Successful,28
399,2610540445.0,69.3,13.5,65.8,22.3,167,331254.0,Pass,Successful,28
400,2610540459.0,64.8,23.8,46.6,57.8,167,303139.0,Pass,Successful,28
401,2610540503.0,45.8,61.1,56.8,76.0,167,402664.0,Pass,Successful,28
402,2610540547.0,55.1,70.6,45.1,79.7,167,136741.0,Pass,Successful,28
